Fasta headers,Reporter intensity corrected 0,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5
"tr|A0A1Q1NN66|A0A1Q1NN66_MOUSE Dystrophin Dp71d(Delta71,73-74) OS=Mus musculus OX=10090 GN=Dmd PE=2 SV=1;tr|A2A9Z1|A2A9Z1_MOUSE Dystrophin OS=Mus musculus OX=10090 GN=Dmd PE=1 SV=1;tr|A2A9Z2|A2A9Z2_MOUSE Dystrophin OS=Mus musculus OX=10090 GN=Dmd PE=1 SV=1",1371100,1926100,1480400,896430,1639400,1079600
"tr|G3UX44|G3UX44_MOUSE H2-K region-expressed gene 6 (Fragment) OS=Mus musculus OX=10090 GN=H2-Ke6 PE=1 SV=1;tr|A0A068BEQ2|A0A068BEQ2_MOUSE H2-K region expressed gene 6, isoform CRA_a OS=Mus musculus OX=10090 GN=H2-Ke6 PE=2 SV=1;sp|P50171|DHB8_MOUSE Estradi",818080,780530,620220,474480,851780,609260
"tr|G3UZD3|G3UZD3_MOUSE Ras-related protein Rab-11B OS=Mus musculus OX=10090 GN=Rab11b PE=1 SV=1;tr|Q78ZJ8|Q78ZJ8_MOUSE MCG22989, isoform CRA_b OS=Mus musculus OX=10090 GN=Rab11b PE=1 SV=1;tr|A0A068BFR3|A0A068BFR3_MOUSE RAS oncogene family protein OS=Mus mu",22627000,17201000,15093000,11111000,11764000,14722000
tr|G3UY33|G3UY33_MOUSE Vacuolar protein sorting-associated protein 52 homolog (Fragment) OS=Mus musculus OX=10090 GN=Vps52 PE=1 SV=2;tr|Q3V3A4|Q3V3A4_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Vps52 PE=2 SV=1;tr|A0A068BGT0|A0A068BGT0_MOUSE V,555020,458510,490740,389720,551800,453910
"tr|V9GXL7|V9GXL7_MOUSE Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (Fragment) OS=Mus musculus OX=10090 GN=Inpp5j PE=1 SV=1;tr|A0A075B6D7|A0A075B6D7_MOUSE Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A OS=Mus musculus OX=10090 GN=Inpp5j PE=",42240,176650,53952,45091,65438,21106
tr|Q7JCZ1|Q7JCZ1_MOUSE Cytochrome c oxidase subunit 2 OS=Mus musculus OX=10090 GN=mt-Co2 PE=1 SV=1;tr|A0A075DC90|A0A075DC90_MOUSE Cytochrome c oxidase subunit 2 OS=Mus musculus OX=10090 GN=COX2 PE=3 SV=1;sp|P00405|COX2_MOUSE Cytochrome c oxidase subunit 2 ,99375000,95943000,96402000,62917000,94620000,87963000
tr|Q7JCZ0|Q7JCZ0_MOUSE ATP synthase protein 8 OS=Mus musculus OX=10090 GN=mt-Atp8 PE=1 SV=1;tr|A3R404|A3R404_MOUSE ATP synthase protein 8 OS=Mus musculus OX=10090 GN=ATP8 PE=3 SV=1;tr|A0A141CM32|A0A141CM32_MOUSE ATP synthase protein 8 OS=Mus musculus OX=10,27997000,22433000,20512000,15807000,32996000,23013000
tr|Q7GIP5|Q7GIP5_MOUSE NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=mt-Nd3 PE=2 SV=1;tr|A0A141CM22|A0A141CM22_MOUSE NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=ND3 PE=3 SV=1;tr|A0A075DCW1|A0A075DCW1_MOUSE NADH-u,54152,25125,36971,9789.5,8467.8,24121
tr|A0A076FSX1|A0A076FSX1_MOUSE KCC2b variant 2 OS=Mus musculus OX=10090 GN=Slc12a5 PE=2 SV=1;tr|A0A076FR46|A0A076FR46_MOUSE KCC2a-S25 variant 1 OS=Mus musculus OX=10090 GN=Slc12a5 PE=1 SV=1;tr|A0A076FRG6|A0A076FRG6_MOUSE KCC2a variant 1 OS=Mus musculus OX=,39473000,29815000,28137000,24704000,29445000,29452000
tr|Q6ZQ40|Q6ZQ40_MOUSE MKIAA0812 protein (Fragment) OS=Mus musculus OX=10090 GN=Celsr3 PE=2 SV=1;tr|A0A1L1SUG9|A0A1L1SUG9_MOUSE Cadherin EGF LAG seven-pass G-type receptor 3 OS=Mus musculus OX=10090 GN=Celsr3 PE=1 SV=1;tr|A0A076N9U7|A0A076N9U7_MOUSE Celsr3,807160,336040,645490,427670,543800,520000
tr|A0A087WNM1|A0A087WNM1_MOUSE SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=1;sp|Q91Z67|SRGP2_MOUSE SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=2;tr|A0A087WRV4|A0A087WRV4_MOUS,2469600,2181400,2243400,1485600,2988500,1954900
tr|A0A087WQE6|A0A087WQE6_MOUSE Elongin-C (Fragment) OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;tr|A0A087WNT1|A0A087WNT1_MOUSE Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;sp|P83940|ELOC_MOUSE Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1,534230,439570,457290,234510,528550,319730
tr|A0A087WRL1|A0A087WRL1_MOUSE Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Agfg1 PE=1 SV=6;tr|A0A087WNV1|A0A087WNV1_MOUSE Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Agfg1 PE=1 ,2787500,2634300,2612500,2105200,3580700,2275900
tr|A0A087WQF8|A0A087WQF8_MOUSE Kinectin OS=Mus musculus OX=10090 GN=Ktn1 PE=1 SV=1;tr|A0A087WP48|A0A087WP48_MOUSE Kinectin OS=Mus musculus OX=10090 GN=Ktn1 PE=1 SV=1;tr|A0A087WS04|A0A087WS04_MOUSE Kinectin OS=Mus musculus OX=10090 GN=Ktn1 PE=1 SV=1;tr|A0A0,1934900,1750600,1772100,1121800,2259900,1396200
tr|A0A087WNW4|A0A087WNW4_MOUSE Predicted gene 29554 OS=Mus musculus OX=10090 GN=Gm29554 PE=4 SV=1,176850,204560,149940,84194,119300,120460
tr|A0A0A6YXZ1|A0A0A6YXZ1_MOUSE CLIP-associating protein 1 OS=Mus musculus OX=10090 GN=Clasp1 PE=1 SV=2;tr|J3QP81|J3QP81_MOUSE CLIP-associating protein 1 OS=Mus musculus OX=10090 GN=Clasp1 PE=1 SV=1;tr|A5D6Q8|A5D6Q8_MOUSE Clasp1 protein OS=Mus musculus OX=1,1967900,1679200,1676900,897730,1269300,1357600
tr|A0A087WNY2|A0A087WNY2_MOUSE Cysteine protease (Fragment) OS=Mus musculus OX=10090 GN=Atg4b PE=1 SV=1;tr|A0A087WRT0|A0A087WRT0_MOUSE Cysteine protease OS=Mus musculus OX=10090 GN=Atg4b PE=1 SV=1;tr|Q3UNF6|Q3UNF6_MOUSE Cysteine protease OS=Mus musculus OX,7260.8,0,0,0,4444.5,0
tr|A0A087WSJ9|A0A087WSJ9_MOUSE Regulator of G-protein-signaling 6 OS=Mus musculus OX=10090 GN=Rgs6 PE=1 SV=1;tr|A0A087WSH2|A0A087WSH2_MOUSE Regulator of G-protein-signaling 6 OS=Mus musculus OX=10090 GN=Rgs6 PE=1 SV=4;tr|A0A087WPW1|A0A087WPW1_MOUSE Regulat,39936,58029,71278,36167,58007,33996
tr|A1A4C2|A1A4C2_MOUSE Autophagy-related protein 9 (Fragment) OS=Mus musculus OX=10090 GN=Atg9a PE=2 SV=1;tr|Q3ZAQ4|Q3ZAQ4_MOUSE Autophagy-related protein 9 OS=Mus musculus OX=10090 GN=Atg9a PE=1 SV=1;tr|A0A087WP33|A0A087WP33_MOUSE Autophagy-related protei,0,0,0,0,0,0
tr|Q3TYE5|Q3TYE5_MOUSE Limbic system-associated membrane protein OS=Mus musculus OX=10090 GN=Lsamp PE=1 SV=1;tr|A0A087WP80|A0A087WP80_MOUSE Limbic system-associated membrane protein OS=Mus musculus OX=10090 GN=Lsamp PE=1 SV=1;sp|Q8BLK3|LSAMP_MOUSE Limbic s,42292000,20311000,29842000,18576000,36665000,23677000
tr|A0A087WP81|A0A087WP81_MOUSE Ubiquitin carboxyl-terminal hydrolase isozyme L5 (Fragment) OS=Mus musculus OX=10090 GN=Uchl5 PE=1 SV=1;sp|Q9WUP7|UCHL5_MOUSE Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Mus musculus OX=10090 GN=Uchl5 PE=1 SV=2,851920,853720,736700,512090,530230,642920
"tr|A0A087WP83|A0A087WP83_MOUSE Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1;tr|Q3V1M8|Q3V1M8_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Hdlbp PE=2 SV=1;tr|Q3U4Z7|Q3U4Z7_MOUSE High density lipoprotein (HDL) binding protein, isoform CRA",541590,631600,549360,308880,505100,360420
tr|A0A087WPF9|A0A087WPF9_MOUSE Basic leucine zipper and W2 domain-containing protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Bzw1 PE=1 SV=1;tr|A0A087WQS2|A0A087WQS2_MOUSE Basic leucine zipper and W2 domain-containing protein 1 OS=Mus musculus OX=10090 GN=,1352300,1572200,1296900,820970,1405600,1029700
tr|A0A087WPL5|A0A087WPL5_MOUSE ATP-dependent RNA helicase A OS=Mus musculus OX=10090 GN=Dhx9 PE=1 SV=1;tr|E9QNN1|E9QNN1_MOUSE ATP-dependent RNA helicase A OS=Mus musculus OX=10090 GN=Dhx9 PE=1 SV=1;sp|O70133|DHX9_MOUSE ATP-dependent RNA helicase A OS=Mus m,4332900,5338300,3460000,3175200,4301300,5811900
tr|A0A087WPM2|A0A087WPM2_MOUSE MCG5343 OS=Mus musculus OX=10090 GN=Ppfia4 PE=1 SV=1;tr|B8QI36|B8QI36_MOUSE Liprin-alpha 4 OS=Mus musculus OX=10090 GN=Ppfia4 PE=1 SV=1;tr|Q69ZW5|Q69ZW5_MOUSE MKIAA0897 protein (Fragment) OS=Mus musculus OX=10090 GN=Ppfia4 PE,594700,435440,429700,253470,421640,359670
tr|A0A087WQG1|A0A087WQG1_MOUSE Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Mus musculus OX=10090 GN=Ilkap PE=1 SV=1;tr|A0A087WPM3|A0A087WPM3_MOUSE Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Mus musculus OX,19334,13815,4837.6,7296.2,6479.4,6865.4
tr|A0A087WPQ9|A0A087WPQ9_MOUSE Neurexin-3-beta OS=Mus musculus OX=10090 GN=Nrxn3 PE=1 SV=1;tr|Q6ZQ56|Q6ZQ56_MOUSE MKIAA0743 protein (Fragment) OS=Mus musculus OX=10090 GN=mKIAA0743 PE=4 SV=1;tr|E9Q2X2|E9Q2X2_MOUSE Neurexin-3-beta OS=Mus musculus OX=10090 G,5623400,5463000,5114400,2673400,3494800,3020300
tr|A0A087WPR1|A0A087WPR1_MOUSE Myelin-associated glycoprotein OS=Mus musculus OX=10090 GN=Mag PE=1 SV=1;sp|P20917|MAG_MOUSE Myelin-associated glycoprotein OS=Mus musculus OX=10090 GN=Mag PE=1 SV=2;tr|Q3ZB60|Q3ZB60_MOUSE Mag protein (Fragment) OS=Mus muscul,53312000,12819000,92749000,12629000,25725000,20086000
tr|A0A087WPX3|A0A087WPX3_MOUSE Neurofascin OS=Mus musculus OX=10090 GN=Nfasc PE=1 SV=1;tr|A0A087WR56|A0A087WR56_MOUSE Neurofascin (Fragment) OS=Mus musculus OX=10090 GN=Nfasc PE=1 SV=1;tr|E9Q171|E9Q171_MOUSE Neurofascin OS=Mus musculus OX=10090 GN=Nfasc PE,220390,77932,426590,63848,155130,112660
tr|Q3TSL8|Q3TSL8_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Kcnma1 PE=2 SV=1;tr|E9Q9P4|E9Q9P4_MOUSE Calcium-activated potassium channel subunit alpha-1 OS=Mus musculus OX=10090 GN=Kcnma1 PE=1 SV=2;tr|F7BHL0|F7BHL0_MOUSE Calcium-ac,1655000,907400,1161800,1195100,919640,1442800
tr|Q9DBT6|Q9DBT6_MOUSE Tensin 1 OS=Mus musculus OX=10090 GN=Tns1 PE=1 SV=1;tr|Q7TPM8|Q7TPM8_MOUSE Tns1 protein OS=Mus musculus OX=10090 GN=Tns1 PE=2 SV=1;tr|Q3U0Q9|Q3U0Q9_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Tns1 PE=2 SV=1;t,299160,397220,370910,231210,593260,261850
tr|Q6P5H4|Q6P5H4_MOUSE Kif1a protein OS=Mus musculus OX=10090 GN=Kif1a PE=2 SV=1;tr|E9QAN4|E9QAN4_MOUSE Kinesin-like protein KIF1A OS=Mus musculus OX=10090 GN=Kif1a PE=1 SV=1;tr|G3UW47|G3UW47_MOUSE Kinesin family member 1A OS=Mus musculus OX=10090 GN=Kif1a,12899000,9756200,11401000,6256100,9465400,8016000
"tr|A0A087WQM1|A0A087WQM1_MOUSE Glia-derived nexin (Fragment) OS=Mus musculus OX=10090 GN=Serpine2 PE=1 SV=1;tr|Q543R5|Q543R5_MOUSE Serine (Or cysteine) peptidase inhibitor, clade E, member 2, isoform CRA_b OS=Mus musculus OX=10090 GN=Serpine2 PE=1 SV=1;tr|",214920,286040,165370,64078,57545,110680
tr|A0A087WQV4|A0A087WQV4_MOUSE Maturin OS=Mus musculus OX=10090 GN=Mturn PE=1 SV=1;sp|Q8CGA4|MTURN_MOUSE Maturin OS=Mus musculus OX=10090 GN=Mturn PE=1 SV=1,92115,64516,100040,48970,87814,68495
tr|Q14BI4|Q14BI4_MOUSE Bai1 protein OS=Mus musculus OX=10090 GN=Adgrb1 PE=2 SV=1;tr|A0A087WSA1|A0A087WSA1_MOUSE Adhesion G protein-coupled receptor B1 OS=Mus musculus OX=10090 GN=Adgrb1 PE=1 SV=1;tr|A0A087WQV8|A0A087WQV8_MOUSE Adhesion G protein-coupled re,33491,25775,26390,19543,43470,16943
tr|A0A087WQY7|A0A087WQY7_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Mus musculus OX=10090 GN=Ndufaf8 PE=1 SV=1;sp|A2AMZ4|NDUF8_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Mus musculus OX=,287100,342710,299940,215440,348540,345290
tr|Q99KD0|Q99KD0_MOUSE Fn1 protein (Fragment) OS=Mus musculus OX=10090 GN=Fn1 PE=2 SV=1;tr|Q8R3F3|Q8R3F3_MOUSE Fn1 protein (Fragment) OS=Mus musculus OX=10090 GN=Fn1 PE=2 SV=1;tr|Q3UZF9|Q3UZF9_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=100,267920,432130,441490,175060,470630,212210
"tr|A0A087WR97|A0A087WR97_MOUSE TAR DNA-binding protein 43 (Fragment) OS=Mus musculus OX=10090 GN=Tardbp PE=1 SV=1;tr|Q8BUM1|Q8BUM1_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Tardbp PE=2 SV=1;tr|Q544R5|Q544R5_MOUSE MCG16669, isoform CRA_b OS=",417760,698990,340980,258290,629860,421880
tr|A0A087WRM2|A0A087WRM2_MOUSE Integral membrane protein 2C OS=Mus musculus OX=10090 GN=Itm2c PE=1 SV=1;sp|Q91VK4|ITM2C_MOUSE Integral membrane protein 2C OS=Mus musculus OX=10090 GN=Itm2c PE=1 SV=2;tr|Q3U0F3|Q3U0F3_MOUSE Uncharacterized protein OS=Mus mus,2319500,1340200,1557000,1030000,1089100,1318600
tr|A0A087WSH6|A0A087WSH6_MOUSE Predicted gene 13889 OS=Mus musculus OX=10090 GN=Gm13889 PE=1 SV=1;tr|A0A087WRN5|A0A087WRN5_MOUSE Predicted gene 13889 OS=Mus musculus OX=10090 GN=Gm13889 PE=1 SV=1;sp|Q3UPL5|CK096_MOUSE Uncharacterized protein C11orf96 homol,198080,239670,102660,139320,181960,173660
tr|A0A087WRS3|A0A087WRS3_MOUSE Abl interactor 2 OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=1;tr|A0A087WR90|A0A087WR90_MOUSE Abl interactor 2 (Fragment) OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=6;tr|A0A087WPP8|A0A087WPP8_MOUSE Abl interactor 2 OS=Mus musculus,4087100,2844400,4197100,4041100,8100000,3531800
