Fasta headers,Reporter intensity corrected 0,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5
tr|Q8BHM1|Q8BHM1_MOUSE Dystrophin Dp40 OS=Mus musculus OX=10090 GN=Dmd PE=2 SV=1;tr|A0A1Q1PRS6|A0A1Q1PRS6_MOUSE Dystrophin Dp71c isoform OS=Mus musculus OX=10090 GN=Dmd PE=2 SV=1;tr|A0A1Q1PRS4|A0A1Q1PRS4_MOUSE Dystrophin Dp71 delta110 isoform OS=Mus muscul,19423,20032,20165,19284,5310.4,10084
tr|A0A067XG53|A0A067XG53_MOUSE Peripheral plasma membrane protein CASK (Fragment) OS=Mus musculus OX=10090 GN=Cask PE=1 SV=1;tr|B9EJ23|B9EJ23_MOUSE Cask protein OS=Mus musculus OX=10090 GN=Cask PE=2 SV=1;tr|B7ZP42|B7ZP42_MOUSE Cask protein OS=Mus musculus ,3150000,3478800,2846400,2506200,1873900,3382000
"tr|G3UX44|G3UX44_MOUSE H2-K region-expressed gene 6 (Fragment) OS=Mus musculus OX=10090 GN=H2-Ke6 PE=1 SV=1;tr|A0A068BEQ2|A0A068BEQ2_MOUSE H2-K region expressed gene 6, isoform CRA_a OS=Mus musculus OX=10090 GN=H2-Ke6 PE=2 SV=1;sp|P50171|DHB8_MOUSE Estradi",603000,667670,528450,458830,416830,430630
"tr|G3UZD3|G3UZD3_MOUSE Ras-related protein Rab-11B OS=Mus musculus OX=10090 GN=Rab11b PE=1 SV=1;tr|Q78ZJ8|Q78ZJ8_MOUSE MCG22989, isoform CRA_b OS=Mus musculus OX=10090 GN=Rab11b PE=1 SV=1;tr|A0A068BFR3|A0A068BFR3_MOUSE RAS oncogene family protein OS=Mus mu",27189000,23581000,25147000,20627000,14939000,29798000
tr|A0A068BGR9|A0A068BGR9_MOUSE NADH dehydrogenase OS=Mus musculus OX=10090 GN=Ndufa7 PE=2 SV=1;sp|Q9Z1P6|NDUA7_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus OX=10090 GN=Ndufa7 PE=1 SV=3,5954600,6370800,4771700,4382600,3877000,4268200
tr|Q3V3A4|Q3V3A4_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Vps52 PE=2 SV=1;tr|A0A068BGT0|A0A068BGT0_MOUSE Vacuolar protein sorting 52 OS=Mus musculus OX=10090 GN=Vps52 PE=2 SV=1;sp|Q8C754|VPS52_MOUSE Vacuolar protein sorting-associated prot,367680,308640,361780,356540,214010,421680
"tr|V9GXL7|V9GXL7_MOUSE Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (Fragment) OS=Mus musculus OX=10090 GN=Inpp5j PE=1 SV=1;tr|A0A075B6D7|A0A075B6D7_MOUSE Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A OS=Mus musculus OX=10090 GN=Inpp5j PE=",97905,109980,91254,82153,58472,107500
tr|Q7JCZ1|Q7JCZ1_MOUSE Cytochrome c oxidase subunit 2 OS=Mus musculus OX=10090 GN=mt-Co2 PE=1 SV=1;tr|A0A075DC90|A0A075DC90_MOUSE Cytochrome c oxidase subunit 2 OS=Mus musculus OX=10090 GN=COX2 PE=3 SV=1;sp|P00405|COX2_MOUSE Cytochrome c oxidase subunit 2 ,31718000,36539000,29354000,23128000,19192000,32747000
tr|A0A075DC92|A0A075DC92_MOUSE NADH-ubiquinone oxidoreductase chain 4L OS=Mus musculus OX=10090 GN=ND4L PE=3 SV=1;tr|Q9MD77|Q9MD77_MOUSE NADH-ubiquinone oxidoreductase chain 4L OS=Mus musculus OX=10090 GN=mt-Nd4l PE=1 SV=1;tr|Q7YBV2|Q7YBV2_MOUSE NADH-ubiqu,30398,20961,17805,21011,17132,29577
tr|Q7JCZ0|Q7JCZ0_MOUSE ATP synthase protein 8 OS=Mus musculus OX=10090 GN=mt-Atp8 PE=1 SV=1;tr|A3R404|A3R404_MOUSE ATP synthase protein 8 OS=Mus musculus OX=10090 GN=ATP8 PE=3 SV=1;tr|A0A141CM32|A0A141CM32_MOUSE ATP synthase protein 8 OS=Mus musculus OX=10,477170,817930,464200,347960,486970,616590
tr|Q7GIP5|Q7GIP5_MOUSE NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=mt-Nd3 PE=2 SV=1;tr|A0A141CM22|A0A141CM22_MOUSE NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus OX=10090 GN=ND3 PE=3 SV=1;tr|A0A075DCW1|A0A075DCW1_MOUSE NADH-u,475730,115840,328030,239530,340400,380440
tr|A0A076FSX1|A0A076FSX1_MOUSE KCC2b variant 2 OS=Mus musculus OX=10090 GN=Slc12a5 PE=2 SV=1;tr|A0A076FR46|A0A076FR46_MOUSE KCC2a-S25 variant 1 OS=Mus musculus OX=10090 GN=Slc12a5 PE=1 SV=1;tr|A0A076FRG6|A0A076FRG6_MOUSE KCC2a variant 1 OS=Mus musculus OX=,22425000,21531000,23775000,19612000,14544000,28742000
tr|A0A087WNM1|A0A087WNM1_MOUSE SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=1;sp|Q91Z67|SRGP2_MOUSE SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=2;tr|A0A087WRV4|A0A087WRV4_MOUS,848540,986930,662530,770390,473320,872820
tr|A0A087WNP6|A0A087WNP6_MOUSE Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=1;sp|Q4VAA2|CDV3_MOUSE Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=2;tr|A0A087WRM0|A0A087WRM0_MOUSE Protein CDV3 (Fragment) OS=Mus musculus OX=10090 GN=Cdv3 PE=1,700720,850500,736240,753880,421400,710410
