Fasta headers,Reporter intensity corrected 0,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5
tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1,22.68603781,22.60197394,22.67362289,22.31342508,22.302821,22.32041521
"tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1",24.87749973,24.85722574,24.89423173,24.13276115,24.24282066,24.17357722
tr|A0A024R4M0|A0A024R4M0_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1,25.31184128,25.15306851,25.27936542,25.05947952,25.0841888,25.09683657
tr|A0A024R6I7|A0A024R6I7_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=1,19.18551762,19.28616919,19.28321063,14.78355495,15.30574801,15.53539696
tr|A0A024R7P0|A0A024R7P0_HUMAN DNA-binding protein RFXANK OS=Homo sapiens OX=9606 GN=RFXANK PE=1 SV=1,12.79250472,12.6563499,12.20006253,12.52476051,12.85194442,12.41817341
tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,21.62955151,21.47788197,21.65953832,21.88129119,21.6844938,21.740165
tr|A0A024RAC6|A0A024RAC6_HUMAN Elongin-A OS=Homo sapiens OX=9606 GN=ELOA PE=1 SV=1,20.48208846,20.45205642,20.41113206,20.37985371,20.48900998,20.44091336
"tr|A0A024RBT2|A0A024RBT2_HUMAN Diablo homolog, mitochondrial OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1",20.17169634,20.12878544,20.02886752,20.19391087,20.28044134,20.34711732
tr|A0A075B6E9|A0A075B6E9_HUMAN Leucine-rich repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=LRRC7 PE=1 SV=1,17.24225382,17.13842523,17.03130957,17.31722095,17.3085401,17.46333268
tr|A0A075B6H3|A0A075B6H3_HUMAN Transmembrane and coiled-coil domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TMCO4 PE=1 SV=1,16.35719488,16.3580193,17.1190451,16.5452591,16.97922253,16.67635409
